Date,Time,Symbol,Previous Close,Open,High,Low,Close,Difference,Percent Change,Volume,Traded Shares,Amount
2026-05-25,14:18:08,SIGS3,29.00,10.66,10.80,10.66,10.80,10.80,0.00,0.00,10.77,1300.00
2026-05-25,14:18:08,SIKLES,45.10,605.00,610.00,600.00,609.00,609.00,0.00,0.00,603.22,13642.00
2026-05-25,14:18:08,SINDU,38.65,713.10,733.90,713.10,733.90,733.90,0.00,0.00,726.49,6351.00
2026-05-25,14:18:08,SIPD,38.87,815.00,860.00,810.00,848.20,848.20,0.00,0.00,845.13,41090.00
2026-05-25,14:18:08,SJCL,45.09,302.00,312.60,302.00,307.80,307.80,0.00,0.00,305.29,64750.00
2026-05-25,14:18:08,SJLIC,42.45,429.00,438.00,429.00,438.00,438.00,0.00,0.00,434.75,15537.00
2026-05-25,14:18:08,SKBBL,44.43,791.00,791.00,765.00,771.00,771.00,0.00,0.00,777.55,23660.00
2026-05-25,14:18:08,SKHEL,36.76,1290.00,1348.70,1278.00,1320.00,1320.00,0.00,0.00,1323.04,18880.00
2026-05-25,14:18:08,SKHL,40.67,970.00,1040.30,955.00,1029.00,1029.00,0.00,0.00,1011.22,59202.00
2026-05-25,14:18:08,SLBBL,40.94,825.00,836.40,821.10,831.50,831.50,0.00,0.00,831.42,6640.00
2026-05-25,14:18:08,SLBSL,41.07,1180.00,1208.00,1180.00,1208.00,1208.00,0.00,0.00,1192.23,1577.00
2026-05-25,14:18:08,SLCF,30.85,10.30,10.30,10.01,10.01,10.01,0.00,0.00,10.03,3550.00
2026-05-25,14:18:08,SMATA,43.06,770.00,775.00,765.00,775.00,775.00,0.00,0.00,773.06,5643.00
2026-05-25,14:18:08,SMB,41.42,1788.00,1790.00,1751.00,1762.00,1762.00,0.00,0.00,1765.89,605.00
2026-05-25,14:18:08,SMFBS,38.20,1513.30,1530.00,1502.00,1530.00,1530.00,0.00,0.00,1515.61,1763.00
2026-05-25,14:18:08,SMH,40.56,594.00,600.00,585.20,597.20,597.20,0.00,0.00,597.68,8992.00
2026-05-25,14:18:08,SMHL,41.95,500.10,508.00,500.10,504.20,504.20,0.00,0.00,505.79,38419.00
2026-05-25,14:18:08,SMJC,44.90,463.60,499.00,463.60,490.20,490.20,0.00,0.00,489.69,56992.00
2026-05-25,14:18:08,SMPDA,41.40,838.00,854.00,838.00,843.00,843.00,0.00,0.00,844.05,1634.00
2026-05-25,14:18:08,SNLI,45.14,455.00,455.00,447.50,451.00,451.00,0.00,0.00,450.48,23128.00
