Date,Time,Symbol,Previous Close,Open,High,Low,Close,Difference,Percent Change,Volume,Traded Shares,Amount
2026-05-21,14:18:33,ACLBSL,34.49,950.00,968.90,947.30,947.30,947.30,0.00,0.00,950.94,863.00
2026-05-21,14:18:33,ADBL,39.60,314.00,314.00,310.30,313.50,313.50,0.00,0.00,312.30,12856.00
2026-05-21,14:18:33,AHL,33.93,496.00,520.00,496.00,505.40,505.40,0.00,0.00,501.06,9481.00
2026-05-21,14:18:33,AHPC,38.84,284.60,284.80,279.10,280.00,280.00,0.00,0.00,281.41,56067.00
2026-05-21,14:18:33,AKJCL,30.82,387.30,387.30,365.00,375.00,375.00,0.00,0.00,368.93,480462.00
2026-05-21,14:18:33,AKPL,39.67,258.40,274.00,258.40,270.40,270.40,0.00,0.00,270.82,67377.00
2026-05-21,14:18:33,ALBSL,33.51,1090.00,1122.00,1090.00,1107.00,1107.00,0.00,0.00,1097.42,2687.00
2026-05-21,14:18:33,ALICL,36.09,455.00,455.00,451.20,454.70,454.70,0.00,0.00,453.15,6484.00
2026-05-21,14:18:33,ANLB,26.84,6352.30,6352.30,5835.10,5938.00,5938.00,0.00,0.00,5909.97,321.00
2026-05-21,14:18:33,API,35.97,355.00,360.00,350.00,354.40,354.40,0.00,0.00,353.26,234332.00
2026-05-21,14:18:33,AVYAN,38.49,1150.00,1154.00,1130.00,1137.90,1137.90,0.00,0.00,1139.51,6507.00
2026-05-21,14:18:33,BANDIPUR,42.37,860.00,876.40,849.00,860.00,860.00,0.00,0.00,861.40,106766.00
2026-05-21,14:18:33,BARUN,39.75,353.90,353.90,346.00,348.00,348.00,0.00,0.00,349.01,29335.00
2026-05-21,14:18:33,BBC,35.81,4850.00,4949.00,4765.00,4820.00,4820.00,0.00,0.00,4821.47,171.00
2026-05-21,14:18:33,BEDC,35.93,375.50,377.00,366.50,369.80,369.80,0.00,0.00,370.04,27693.00
2026-05-21,14:18:33,BFC,40.26,458.00,465.50,455.20,457.90,457.90,0.00,0.00,456.81,5208.00
2026-05-21,14:18:33,BGWT,28.27,642.00,663.00,642.00,650.00,650.00,0.00,0.00,649.92,723.00
2026-05-21,14:18:33,BHCL,43.71,547.00,558.90,531.80,532.00,532.00,0.00,0.00,537.61,35137.00
2026-05-21,14:18:33,BHDC,35.28,470.00,473.80,462.20,463.50,463.50,0.00,0.00,464.19,3507.00
2026-05-21,14:18:33,BHL,38.05,238.00,238.00,223.00,223.00,223.00,0.00,0.00,224.90,63819.00
2026-05-21,14:18:33,BHPL,40.77,561.70,561.70,522.00,529.70,529.70,0.00,0.00,531.67,5744.00
2026-05-21,14:18:33,BJHL,29.44,955.00,956.00,921.20,925.00,925.00,0.00,0.00,934.16,6597.00
2026-05-21,14:18:33,BNHC,37.13,331.00,334.90,328.10,328.40,328.40,0.00,0.00,331.38,2605.00
2026-05-21,14:18:33,BNL,21.23,14387.10,14387.10,14387.10,14387.10,14387.10,0.00,0.00,14387.10,10.00
2026-05-21,14:18:33,BNT,19.47,11949.00,11949.00,11590.60,11590.60,11590.60,0.00,0.00,11769.80,20.00
2026-05-21,14:18:33,BPCL,45.18,740.20,740.20,690.10,701.80,701.80,0.00,0.00,700.14,78436.00
2026-05-21,14:18:33,BUNGAL,51.02,682.80,746.00,661.00,746.00,746.00,0.00,0.00,687.48,197708.00
2026-05-21,14:18:33,CBBL,33.84,920.00,924.00,915.00,915.00,915.00,0.00,0.00,916.91,10162.00
2026-05-21,14:18:33,CBLD88,30.76,1185.00,1185.00,1185.00,1185.00,1185.00,0.00,0.00,1185.00,25.00
2026-05-21,14:18:33,CFCL,37.22,526.90,526.90,496.00,499.80,499.80,0.00,0.00,498.26,2938.00
2026-05-21,14:18:33,CGH,41.15,796.00,808.00,796.00,803.80,803.80,0.00,0.00,800.28,9109.00
2026-05-21,14:18:33,CHCL,38.77,480.00,482.00,476.00,479.00,479.00,0.00,0.00,478.88,15354.00
