Date,Time,Symbol,Previous Close,Open,High,Low,Close,Difference,Percent Change,Volume,Traded Shares,Amount
2026-05-20,13:48:06,ACLBSL,40.76,960.00,964.00,946.00,956.00,956.00,0.00,0.00,957.73,1142.00
2026-05-20,13:48:06,ADBL,44.13,307.10,313.90,307.10,313.80,313.80,0.00,0.00,311.94,28637.00
2026-05-20,13:48:06,AHL,21.92,495.00,525.00,495.00,503.00,503.00,0.00,0.00,503.02,8165.00
2026-05-20,13:48:06,AHPC,43.08,279.90,283.00,276.80,282.00,282.00,0.00,0.00,280.29,143246.00
2026-05-20,13:48:06,AKJCL,38.47,350.00,370.00,350.00,368.90,368.90,0.00,0.00,361.87,491504.00
2026-05-20,13:48:06,AKPL,41.71,266.00,272.10,266.00,272.00,272.00,0.00,0.00,270.23,90578.00
2026-05-20,13:48:06,ALBSL,39.99,1085.10,1115.00,1085.10,1114.40,1114.40,0.00,0.00,1102.75,5605.00
2026-05-20,13:48:06,ALICL,31.67,454.80,454.80,450.00,454.50,454.50,0.00,0.00,453.10,14518.00
2026-05-20,13:48:06,ANLB,35.06,5965.50,6049.90,5790.00,6049.90,6049.90,0.00,0.00,5871.34,999.00
2026-05-20,13:48:06,API,43.85,353.00,355.00,350.00,355.00,355.00,0.00,0.00,352.83,321600.00
2026-05-20,13:48:06,AVYAN,40.91,1076.40,1155.00,1076.40,1150.00,1150.00,0.00,0.00,1144.69,5252.00
2026-05-20,13:48:06,BANDIPUR,40.29,808.00,849.00,804.00,849.00,849.00,0.00,0.00,831.14,76281.00
2026-05-20,13:48:06,BARUN,41.14,344.10,350.00,343.00,349.60,349.60,0.00,0.00,347.33,34512.00
2026-05-20,13:48:06,BBC,36.67,4826.00,4826.00,4745.00,4820.00,4820.00,0.00,0.00,4782.83,148.00
2026-05-20,13:48:06,BEDC,36.38,369.90,375.00,365.00,375.00,375.00,0.00,0.00,370.91,32988.00
2026-05-20,13:48:06,BFC,35.04,461.90,461.90,453.10,458.00,458.00,0.00,0.00,456.61,5232.00
2026-05-20,13:48:06,BGWT,31.66,669.00,669.00,644.00,656.80,656.80,0.00,0.00,660.81,541.00
2026-05-20,13:48:06,BHCL,44.89,530.00,556.00,525.00,547.00,547.00,0.00,0.00,548.59,52639.00
2026-05-20,13:48:06,BHDC,38.08,464.00,467.00,452.40,467.00,467.00,0.00,0.00,460.96,8254.00
2026-05-20,13:48:06,BHL,40.44,231.80,231.80,220.00,226.80,226.80,0.00,0.00,224.49,106813.00
2026-05-20,13:48:06,BHPL,42.48,513.00,535.00,513.00,535.00,535.00,0.00,0.00,525.07,9597.00
2026-05-20,13:48:06,BJHL,28.78,910.00,943.90,910.00,940.00,940.00,0.00,0.00,935.55,9503.00
2026-05-20,13:48:06,BNHC,38.73,331.00,332.00,325.00,332.00,332.00,0.00,0.00,330.58,3506.00
2026-05-20,13:48:06,BNL,27.72,14000.00,14000.00,13968.10,13968.10,13968.10,0.00,0.00,13975.28,50.00
2026-05-20,13:48:06,BNT,25.13,11570.00,11799.00,11500.00,11799.00,11799.00,0.00,0.00,11641.41,70.00
2026-05-20,13:48:06,BPCL,46.49,734.30,734.30,691.20,705.00,705.00,0.00,0.00,699.66,77861.00
2026-05-20,13:48:06,BUNGAL,51.19,636.00,688.90,636.00,682.80,682.80,0.00,0.00,675.11,137677.00
2026-05-20,13:48:06,C30MF,20.95,10.00,10.00,9.83,9.83,9.83,0.00,0.00,9.89,300.00
2026-05-20,13:48:06,CBBL,25.54,910.00,918.50,910.00,918.00,918.00,0.00,0.00,916.21,12167.00
2026-05-20,13:48:06,CCBD88,38.57,1237.00,1274.00,1237.00,1274.00,1274.00,0.00,0.00,1258.67,75.00
2026-05-20,13:48:06,CFCL,41.63,522.50,522.50,488.00,501.90,501.90,0.00,0.00,494.30,7420.00
2026-05-20,13:48:06,CGH,38.99,819.00,819.00,796.10,803.80,803.80,0.00,0.00,799.95,10764.00
2026-05-20,13:48:06,CHCL,41.06,479.90,481.00,476.50,480.00,480.00,0.00,0.00,479.27,21428.00
2026-05-20,13:48:06,CHDC,40.09,2240.10,2291.00,2240.10,2285.90,2285.90,0.00,0.00,2267.07,20939.00
2026-05-20,13:48:06,CHL,34.05,289.00,292.90,284.20,292.90,292.90,0.00,0.00,290.02,9881.00
2026-05-20,13:48:06,CIT,43.84,1769.00,1774.00,1760.50,1770.00,1770.00,0.00,0.00,1766.06,6522.00
2026-05-20,13:48:06,CITY,29.60,370.00,389.80,363.20,389.70,389.70,0.00,0.00,375.25,101807.00
2026-05-20,13:48:06,CIZBD86,33.77,1198.00,1198.00,1198.00,1222.00,1222.00,0.00,0.00,1222.00,6.00
2026-05-20,13:48:06,CKHL,33.48,650.10,670.00,650.10,670.00,670.00,0.00,0.00,657.81,210.00
2026-05-20,13:48:06,CLI,34.98,450.00,456.00,450.00,454.50,454.50,0.00,0.00,453.30,7673.00
2026-05-20,13:48:06,CORBL,26.79,2185.00,2497.00,1994.40,1995.00,1995.00,0.00,0.00,2122.43,86464.00
2026-05-20,13:48:06,CREST,41.07,1142.00,1149.90,1111.10,1149.90,1149.90,0.00,0.00,1125.63,7566.00
2026-05-20,13:48:06,CSY,38.19,9.15,9.34,9.15,9.30,9.30,0.00,0.00,9.27,4550.00
2026-05-20,13:48:06,CYCL,36.26,1488.00,1492.00,1469.00,1491.90,1491.90,0.00,0.00,1480.22,262.00
2026-05-20,13:48:06,CZBIL,41.42,194.50,206.00,194.50,205.40,205.40,0.00,0.00,205.32,34175.00
2026-05-20,13:48:06,DDBL,37.65,855.00,860.00,846.00,860.00,860.00,0.00,0.00,855.54,4944.00
2026-05-20,13:48:06,DHEL,42.86,656.20,656.20,620.00,642.90,642.90,0.00,0.00,636.35,47897.00
2026-05-20,13:48:06,DHPL,42.27,298.00,303.80,292.10,303.80,303.80,0.00,0.00,297.99,6537.00
2026-05-20,13:48:06,DLBS,19.50,1328.70,1328.70,1253.00,1270.10,1270.10,0.00,0.00,1274.83,294.00
2026-05-20,13:48:06,DOLTI,36.42,350.00,350.00,346.00,348.00,348.00,0.00,0.00,347.35,69308.00
2026-05-20,13:48:06,DORDI,38.68,270.00,279.00,270.00,278.00,278.00,0.00,0.00,275.30,17465.00
2026-05-20,13:48:06,EBL,35.25,701.60,708.50,701.60,707.10,707.10,0.00,0.00,707.27,20775.00
2026-05-20,13:48:06,EBLD85,45.52,1170.00,1170.00,1155.00,1155.00,1155.00,0.00,0.00,1166.32,265.00
2026-05-20,13:48:06,EBLD91,33.39,1075.00,1075.00,1075.00,1075.00,1075.00,0.00,0.00,1075.00,130.00
2026-05-20,13:48:06,EDBL,37.90,587.90,587.90,580.00,582.00,582.00,0.00,0.00,582.88,1955.00
2026-05-20,13:48:06,EHPL,36.52,405.10,405.10,382.00,392.90,392.90,0.00,0.00,389.06,10167.00
2026-05-20,13:48:06,ENL,34.21,913.00,913.00,884.00,895.00,895.00,0.00,0.00,887.90,240.00
2026-05-20,13:48:06,FMDBL,33.34,800.00,810.10,790.00,804.00,804.00,0.00,0.00,799.09,6866.00
2026-05-20,13:48:06,FOWAD,34.90,1040.00,1054.90,1038.00,1053.00,1053.00,0.00,0.00,1047.46,4338.00
2026-05-20,13:48:06,GBBD85,47.03,1100.00,1107.18,1100.00,1107.18,1107.18,0.00,0.00,1103.22,825.00
2026-05-20,13:48:06,GBBL,42.37,416.00,422.00,415.50,422.00,422.00,0.00,0.00,419.27,28953.00
2026-05-20,13:48:06,GBILD86/87,25.26,1085.00,1085.00,1085.00,1085.00,1085.00,0.00,0.00,1085.00,50.00
2026-05-20,13:48:06,GBIME,41.38,234.10,237.70,234.10,237.30,237.30,0.00,0.00,235.91,71471.00
2026-05-20,13:48:06,GBIMESY2,38.29,9.27,9.60,9.27,9.60,9.60,0.00,0.00,9.39,1800.00
2026-05-20,13:48:06,GBLBS,34.86,779.50,779.50,763.00,777.00,777.00,0.00,0.00,769.87,378.00
2026-05-20,13:48:06,GCIL,43.17,414.10,422.90,406.00,422.90,422.90,0.00,0.00,416.46,21916.00
2026-05-20,13:48:06,GFCL,33.39,628.90,631.90,620.10,628.00,628.00,0.00,0.00,626.67,6187.00
2026-05-20,13:48:06,GHL,36.98,233.70,241.90,233.10,241.00,241.00,0.00,0.00,237.84,49564.00
2026-05-20,13:48:06,GIBF1,47.03,10.70,10.80,10.68,10.77,10.77,0.00,0.00,10.72,653310.00
2026-05-20,13:48:06,GILB,37.19,1130.00,1130.00,1082.00,1115.00,1115.00,0.00,0.00,1108.04,1623.00
2026-05-20,13:48:06,GLBSL,30.16,1780.20,1820.00,1780.20,1780.50,1780.50,0.00,0.00,1797.69,45.00
2026-05-20,13:48:06,GLH,41.62,266.80,271.90,261.00,271.00,271.00,0.00,0.00,265.25,49703.00
2026-05-20,13:48:06,GMFBS,34.72,1362.00,1362.00,1284.00,1323.90,1323.90,0.00,0.00,1290.84,1076.00
2026-05-20,13:48:06,GMFIL,39.61,460.00,465.00,454.50,464.90,464.90,0.00,0.00,461.70,3075.00
2026-05-20,13:48:06,GMLI,33.51,1252.00,1286.00,1251.10,1285.00,1285.00,0.00,0.00,1273.10,1275.00
2026-05-20,13:48:06,GRDBL,42.21,1035.00,1084.30,1035.00,1084.00,1084.00,0.00,0.00,1066.00,27284.00
