Date,Time,Symbol,Previous Close,Open,High,Low,Close,Difference,Percent Change,Volume,Traded Shares,Amount
2026-05-28,14:46:24,ACLBSL,40.99,945.10,966.60,945.10,966.60,966.60,0.00,0.00,952.05,279.00
2026-05-28,14:46:24,ADBL,48.65,322.29,322.29,312.50,320.00,320.00,0.00,0.00,319.29,50166.00
2026-05-28,14:46:24,ADBLD83,27.05,1050.70,1052.70,1050.70,1051.80,1051.80,0.00,0.00,1051.95,125.00
2026-05-28,14:46:24,AHL,39.81,530.20,530.20,500.10,507.70,507.70,0.00,0.00,503.38,4640.00
2026-05-28,14:46:24,AHPC,46.47,284.50,289.80,283.30,287.50,287.50,0.00,0.00,287.17,120647.00
2026-05-28,14:46:24,AKJCL,53.43,422.90,441.20,420.60,440.00,440.00,0.00,0.00,435.46,1635606.00
2026-05-28,14:46:24,AKPL,45.67,259.60,280.00,259.60,276.50,276.50,0.00,0.00,276.19,113753.00
2026-05-28,14:46:24,ALBSL,45.17,1108.00,1189.00,1100.00,1128.90,1128.90,0.00,0.00,1109.75,6799.00
2026-05-28,14:46:24,ALICL,37.78,455.00,455.00,451.50,454.00,454.00,0.00,0.00,453.42,14187.00
2026-05-28,14:46:24,ANLB,26.14,5760.00,5998.00,5760.00,5969.90,5969.90,0.00,0.00,5873.59,154.00
2026-05-28,14:46:24,API,42.72,360.00,364.80,356.50,364.00,364.00,0.00,0.00,360.99,577850.00
2026-05-28,14:46:24,AVYAN,27.58,1136.00,1140.00,1125.00,1135.00,1135.00,0.00,0.00,1127.41,5837.00
2026-05-28,14:46:24,BANDIPUR,43.97,905.00,905.00,850.00,854.70,854.70,0.00,0.00,856.11,34430.00
2026-05-28,14:46:24,BARUN,43.04,353.00,354.80,350.00,352.00,352.00,0.00,0.00,352.20,49801.00
2026-05-28,14:46:24,BBC,40.41,4879.00,4880.00,4751.00,4836.00,4836.00,0.00,0.00,4819.31,391.00
2026-05-28,14:46:24,BEDC,37.46,395.00,395.00,370.00,378.60,378.60,0.00,0.00,376.76,23336.00
2026-05-28,14:46:24,BFC,43.35,463.90,463.90,457.20,459.40,459.40,0.00,0.00,458.87,5074.00
2026-05-28,14:46:24,BGWT,42.55,657.00,673.00,657.00,673.00,673.00,0.00,0.00,666.97,1531.00
2026-05-28,14:46:24,BHCL,52.97,620.00,620.00,595.00,600.00,600.00,0.00,0.00,606.06,159635.00
2026-05-28,14:46:24,BHDC,49.78,471.00,478.00,467.00,475.00,475.00,0.00,0.00,472.53,53466.00
2026-05-28,14:46:24,BHL,32.34,238.10,238.10,220.00,227.00,227.00,0.00,0.00,226.74,116141.00
2026-05-28,14:46:24,BHPL,47.71,521.10,540.00,521.10,538.70,538.70,0.00,0.00,532.11,15374.00
2026-05-28,14:46:24,BJHL,34.71,971.00,984.00,932.10,936.00,936.00,0.00,0.00,947.93,13194.00
2026-05-28,14:46:24,BNHC,40.54,343.40,345.00,336.00,338.20,338.20,0.00,0.00,339.88,5946.00
2026-05-28,14:46:24,BNL,41.58,14551.00,14551.00,14551.00,14551.00,14551.00,0.00,0.00,14551.00,10.00
2026-05-28,14:46:24,BOKD86,44.36,1086.00,1086.00,1086.00,1086.00,1086.00,0.00,0.00,1086.00,175.00
2026-05-28,14:46:24,BPCL,26.72,731.00,731.00,692.00,696.90,696.90,0.00,0.00,695.15,27370.00
2026-05-28,14:46:24,BUNGAL,45.83,702.00,841.00,702.00,841.00,841.00,0.00,0.00,745.60,197734.00
2026-05-28,14:46:24,C30MF,41.69,9.92,10.19,9.92,10.19,10.19,0.00,0.00,10.04,1900.00
2026-05-28,14:46:24,CBBL,40.75,923.00,929.90,923.00,929.00,929.00,0.00,0.00,927.00,15992.00
2026-05-28,14:46:24,CBLD88,33.11,1213.00,1213.00,1160.00,1160.00,1160.00,0.00,0.00,1164.71,2084.00
2026-05-28,14:46:24,CCBD88,23.88,1253.00,1253.00,1253.00,1253.00,1253.00,0.00,0.00,1253.00,25.00
2026-05-28,14:46:24,CFCL,46.06,512.00,512.00,498.20,504.90,504.90,0.00,0.00,501.80,9756.00
2026-05-28,14:46:24,CGH,43.86,800.00,810.00,795.00,804.90,804.90,0.00,0.00,797.11,18478.00
2026-05-28,14:46:24,CHCL,48.65,510.30,510.30,483.10,483.60,483.60,0.00,0.00,486.65,61148.00
2026-05-28,14:46:24,CHDC,43.57,2290.00,2324.00,2285.00,2314.00,2314.00,0.00,0.00,2308.20,12374.00
2026-05-28,14:46:24,CHL,48.36,298.00,304.80,291.40,298.00,298.00,0.00,0.00,299.49,37409.00
2026-05-28,14:46:24,CIT,45.83,1777.00,1779.50,1765.00,1779.00,1779.00,0.00,0.00,1776.90,6163.00
2026-05-28,14:46:24,CITY,39.14,390.00,397.90,384.00,384.90,384.90,0.00,0.00,389.30,161793.00
2026-05-28,14:46:24,CIZBD90,49.78,1191.70,1195.00,1191.70,1195.00,1195.00,0.00,0.00,1194.98,1444.00
2026-05-28,14:46:24,CKHL,44.60,674.00,700.00,674.00,695.00,695.00,0.00,0.00,686.37,1620.00
2026-05-28,14:46:24,CLI,44.42,456.80,459.00,454.50,458.00,458.00,0.00,0.00,456.76,10262.00
2026-05-28,14:46:24,CMF2,43.00,10.24,10.24,10.00,10.20,10.20,0.00,0.00,10.20,5009.00
2026-05-28,14:46:24,CORBL,37.41,2000.00,2037.70,1977.90,1991.00,1991.00,0.00,0.00,1997.95,17133.00
2026-05-28,14:46:24,CREST,49.78,1234.00,1357.00,1190.00,1350.00,1350.00,0.00,0.00,1245.78,26431.00
2026-05-28,14:46:24,CSY,38.74,9.31,9.50,9.31,9.35,9.35,0.00,0.00,9.40,1710.00
2026-05-28,14:46:24,CYCL,27.55,1480.00,1480.00,1452.00,1470.00,1470.00,0.00,0.00,1466.38,714.00
2026-05-28,14:46:24,CZBIL,49.09,194.00,207.90,194.00,206.00,206.00,0.00,0.00,204.99,131100.00
2026-05-28,14:46:24,DDBL,29.30,845.00,863.00,845.00,852.00,852.00,0.00,0.00,852.27,7913.00
2026-05-28,14:46:24,DHEL,35.25,693.00,693.00,639.00,640.00,640.00,0.00,0.00,656.34,39042.00
2026-05-28,14:46:24,DHPL,42.61,309.00,315.00,303.00,306.00,306.00,0.00,0.00,305.99,2313.00
2026-05-28,14:46:24,DLBS,44.78,1313.00,1317.00,1280.10,1315.00,1315.00,0.00,0.00,1310.08,1900.00
2026-05-28,14:46:24,DOLTI,47.44,357.50,365.00,355.00,362.00,362.00,0.00,0.00,361.02,87464.00
2026-05-28,14:46:24,DORDI,44.66,285.00,286.80,281.80,284.00,284.00,0.00,0.00,284.69,35516.00
2026-05-28,14:46:24,EBL,37.92,714.00,714.80,710.00,712.00,712.00,0.00,0.00,712.29,23103.00
2026-05-28,14:46:24,EBLD85,35.22,1160.00,1160.00,1160.00,1160.00,1160.00,0.00,0.00,1160.00,50.00
2026-05-28,14:46:24,EBLD86,33.11,1090.00,1090.00,1060.00,1060.00,1060.00,0.00,0.00,1061.06,3162.00
2026-05-28,14:46:24,EBLD91,45.62,1100.00,1102.00,1088.10,1090.00,1090.00,0.00,0.00,1096.47,165.00
2026-05-28,14:46:24,EDBL,36.64,578.90,584.00,577.30,582.80,582.80,0.00,0.00,580.39,6023.00
2026-05-28,14:46:24,EHPL,33.34,405.00,411.80,397.00,402.00,402.00,0.00,0.00,400.30,12909.00
2026-05-28,14:46:24,ENL,36.68,855.00,900.00,855.00,894.00,894.00,0.00,0.00,880.58,891.00
2026-05-28,14:46:24,FMDBL,22.73,789.10,799.90,787.00,792.00,792.00,0.00,0.00,790.04,18532.00
2026-05-28,14:46:24,FOWAD,35.23,1041.00,1063.00,1041.00,1062.00,1062.00,0.00,0.00,1054.21,1114.00
