Date,Time,Symbol,Previous Close,Open,High,Low,Close,Difference,Percent Change,Volume,Traded Shares,Amount
2026-05-26,14:11:16,ACLBSL,37.54,979.00,979.00,950.00,950.00,950.00,0.00,0.00,956.56,1549.00
2026-05-26,14:11:16,ADBL,40.90,318.00,319.00,315.40,316.70,316.70,0.00,0.00,315.96,14963.00
2026-05-26,14:11:16,AHL,30.99,505.00,508.00,504.30,505.00,505.00,0.00,0.00,505.42,3165.00
2026-05-26,14:11:16,AHPC,41.92,275.00,289.00,275.00,284.20,284.20,0.00,0.00,284.42,82531.00
2026-05-26,14:11:16,AKJCL,49.89,413.00,424.00,412.50,422.90,422.90,0.00,0.00,417.94,1118022.00
2026-05-26,14:11:16,AKPL,41.75,277.00,279.00,272.40,273.20,273.20,0.00,0.00,274.04,88036.00
2026-05-26,14:11:16,ALBSL,37.31,1125.00,1155.00,1117.60,1127.00,1127.00,0.00,0.00,1129.44,2556.00
2026-05-26,14:11:16,ALICL,37.24,458.50,458.50,449.30,449.30,449.30,0.00,0.00,454.13,37205.00
2026-05-26,14:11:16,ANLB,19.69,5899.00,5990.00,5890.00,5890.00,5890.00,0.00,0.00,5897.82,358.00
2026-05-26,14:11:16,API,38.63,360.00,362.90,355.40,358.80,358.80,0.00,0.00,357.67,367226.00
2026-05-26,14:11:16,AVYAN,29.00,1090.60,1156.00,1090.60,1139.00,1139.00,0.00,0.00,1142.65,3573.00
2026-05-26,14:11:16,BANDIPUR,42.43,864.00,865.00,849.10,862.00,862.00,0.00,0.00,854.51,46976.00
2026-05-26,14:11:16,BARUN,40.99,357.20,358.80,350.30,352.10,352.10,0.00,0.00,353.32,29521.00
2026-05-26,14:11:16,BBC,40.52,4800.00,4823.90,4755.00,4810.00,4810.00,0.00,0.00,4788.96,200.00
2026-05-26,14:11:16,BEDC,35.69,400.00,400.00,375.00,376.90,376.90,0.00,0.00,377.07,27283.00
2026-05-26,14:11:16,BFC,41.10,469.00,469.00,460.20,461.00,461.00,0.00,0.00,461.58,5324.00
2026-05-26,14:11:16,BGWT,40.90,670.00,670.00,660.00,669.00,669.00,0.00,0.00,661.56,1685.00
2026-05-26,14:11:16,BHCL,51.57,600.00,616.90,575.00,614.00,614.00,0.00,0.00,600.82,180134.00
2026-05-26,14:11:16,BHDC,45.66,480.00,487.50,467.00,474.00,474.00,0.00,0.00,470.89,38693.00
2026-05-26,14:11:16,BHL,40.05,239.50,239.50,226.00,226.80,226.80,0.00,0.00,227.00,80660.00
2026-05-26,14:11:16,BHPL,40.20,543.80,543.80,528.20,528.30,528.30,0.00,0.00,529.88,4341.00
2026-05-26,14:11:16,BJHL,34.95,961.00,1005.00,961.00,971.00,971.00,0.00,0.00,971.94,8638.00
2026-05-26,14:11:16,BNHC,38.11,342.00,342.00,332.10,338.00,338.00,0.00,0.00,336.01,2178.00
2026-05-26,14:11:16,BNL,45.09,14400.00,14832.00,14400.00,14832.00,14832.00,0.00,0.00,14724.00,40.00
2026-05-26,14:11:16,BNT,37.15,11700.00,11889.00,11700.00,11889.00,11889.00,0.00,0.00,11874.75,24.00
2026-05-26,14:11:16,BPCL,26.21,704.00,708.00,693.00,697.00,697.00,0.00,0.00,697.88,22562.00
2026-05-26,14:11:16,BUNGAL,41.30,730.00,737.70,710.00,732.10,732.10,0.00,0.00,730.91,101332.00
2026-05-26,14:11:16,C30MF,47.40,10.10,10.20,9.96,10.00,10.00,0.00,0.00,10.00,200330.00
2026-05-26,14:11:16,CBBL,38.04,925.00,925.00,919.00,923.00,923.00,0.00,0.00,923.06,20524.00
2026-05-26,14:11:16,CBLD88,38.42,1195.00,1195.00,1195.00,1195.00,1195.00,0.00,0.00,1195.00,25.00
2026-05-26,14:11:16,CFCL,32.33,499.10,506.00,499.10,505.00,505.00,0.00,0.00,502.91,5191.00
2026-05-26,14:11:16,CGH,45.65,800.70,815.20,799.00,802.40,802.40,0.00,0.00,800.45,24069.00
2026-05-26,14:11:16,CHCL,43.65,491.80,491.90,483.80,486.00,486.00,0.00,0.00,486.14,39399.00
2026-05-26,14:11:16,CHDC,41.41,2360.20,2360.20,2281.00,2292.00,2292.00,0.00,0.00,2292.36,13128.00
2026-05-26,14:11:16,CHL,40.29,296.00,297.00,289.50,296.80,296.80,0.00,0.00,293.13,12688.00
2026-05-26,14:11:16,CIT,45.68,1772.00,1776.00,1760.20,1765.10,1765.10,0.00,0.00,1768.21,10803.00
2026-05-26,14:11:16,CITY,40.46,382.00,390.00,377.10,389.00,389.00,0.00,0.00,383.53,120258.00
2026-05-26,14:11:16,CKHL,40.03,675.00,716.00,675.00,694.00,694.00,0.00,0.00,687.74,1585.00
2026-05-26,14:11:16,CLI,45.50,455.00,460.00,454.00,457.00,457.00,0.00,0.00,456.60,20764.00
2026-05-26,14:11:16,CMF2,44.15,10.00,10.28,10.00,10.24,10.24,0.00,0.00,10.26,15578.00
2026-05-26,14:11:16,CORBL,26.59,2000.00,2280.00,1999.30,2082.00,2082.00,0.00,0.00,2019.31,33497.00
2026-05-26,14:11:16,CREST,40.60,1238.00,1275.00,1215.00,1244.00,1244.00,0.00,0.00,1230.35,5460.00
2026-05-26,14:11:16,CSY,37.87,9.39,9.39,9.27,9.31,9.31,0.00,0.00,9.30,3500.00
2026-05-26,14:11:16,CYCL,23.46,1450.10,1480.00,1439.00,1470.00,1470.00,0.00,0.00,1467.29,518.00
2026-05-26,14:11:16,CZBIL,39.20,208.00,209.00,203.00,204.00,204.00,0.00,0.00,204.15,155590.00
2026-05-26,14:11:16,DDBL,30.52,877.90,877.90,852.00,853.00,853.00,0.00,0.00,853.79,5810.00
2026-05-26,14:11:16,DHEL,46.05,670.00,675.00,655.00,660.00,660.00,0.00,0.00,660.60,26478.00
2026-05-26,14:11:16,DHPL,43.26,309.00,309.00,298.00,306.00,306.00,0.00,0.00,301.96,5291.00
2026-05-26,14:11:16,DLBS,41.03,1314.00,1314.00,1275.00,1313.00,1313.00,0.00,0.00,1298.30,670.00
2026-05-26,14:11:16,DOLTI,39.46,343.90,370.00,343.90,358.00,358.00,0.00,0.00,359.45,26644.00
2026-05-26,14:11:16,DORDI,40.84,283.30,285.00,280.00,283.00,283.00,0.00,0.00,281.69,27315.00
2026-05-26,14:11:16,EBL,35.95,719.00,719.00,710.00,712.60,712.60,0.00,0.00,712.03,21211.00
2026-05-26,14:11:16,EBLD86,42.73,1077.30,1105.00,1077.30,1105.00,1105.00,0.00,0.00,1094.10,75.00
2026-05-26,14:11:16,EBLD91,30.79,1100.00,1100.00,1090.20,1098.00,1098.00,0.00,0.00,1096.57,105.00
2026-05-26,14:11:16,EDBL,39.62,590.90,591.00,576.30,584.90,584.90,0.00,0.00,582.41,3740.00
2026-05-26,14:11:16,EHPL,41.88,403.00,409.80,398.00,405.00,405.00,0.00,0.00,403.30,26657.00
2026-05-26,14:11:16,ENL,35.16,881.20,899.90,881.20,899.90,899.90,0.00,0.00,891.50,115.00
2026-05-26,14:11:16,FMDBL,31.57,803.80,805.50,783.80,786.10,786.10,0.00,0.00,788.78,26463.00
2026-05-26,14:11:16,FOWAD,35.46,1067.50,1067.50,1041.60,1047.20,1047.20,0.00,0.00,1049.25,2165.00
2026-05-26,14:11:16,GBBD85,36.83,1080.20,1081.30,1080.20,1100.00,1100.00,0.00,0.00,1082.50,55.00
2026-05-26,14:11:16,GBBL,34.47,417.10,422.00,417.10,419.00,419.00,0.00,0.00,420.11,18498.00
2026-05-26,14:11:16,GBILD84/85,47.40,1155.00,1155.00,1155.00,1155.00,1155.00,0.00,0.00,1155.00,150.00
2026-05-26,14:11:16,GBILD86/87,47.40,1100.00,1133.00,1100.00,1125.00,1125.00,0.00,0.00,1124.50,1222.00
2026-05-26,14:11:16,GBIME,34.51,238.00,240.00,236.20,239.00,239.00,0.00,0.00,238.46,70690.00
2026-05-26,14:11:16,GBIMESY2,26.06,9.41,9.50,9.24,9.35,9.35,0.00,0.00,9.32,7399.00
2026-05-26,14:11:16,GBLBS,38.75,781.00,785.10,773.10,780.90,780.90,0.00,0.00,778.49,2309.00
2026-05-26,14:11:16,GCIL,44.26,426.50,437.00,426.50,431.00,431.00,0.00,0.00,432.99,24661.00
2026-05-26,14:11:16,GFCL,40.72,628.20,629.00,625.00,625.20,625.20,0.00,0.00,627.19,4957.00
2026-05-26,14:11:16,GHL,37.81,248.70,248.70,242.00,245.00,245.00,0.00,0.00,243.58,57043.00
2026-05-26,14:11:16,GIBF1,34.27,11.00,11.00,10.90,11.00,11.00,0.00,0.00,10.99,1000.00
2026-05-26,14:11:16,GILB,29.31,1130.80,1155.00,1130.60,1132.00,1132.00,0.00,0.00,1136.25,115.00
2026-05-26,14:11:16,GLBSL,43.42,1815.00,1833.40,1780.00,1832.00,1832.00,0.00,0.00,1793.49,734.00
2026-05-26,14:11:16,GLH,39.87,278.90,280.00,273.00,277.00,277.00,0.00,0.00,275.35,22676.00
2026-05-26,14:11:16,GMFBS,36.21,1342.90,1342.90,1280.00,1311.00,1311.00,0.00,0.00,1282.37,1027.00
2026-05-26,14:11:16,GMFIL,36.60,480.00,480.00,468.00,469.00,469.00,0.00,0.00,472.96,539.00
2026-05-26,14:11:16,GMLI,41.96,1280.00,1324.90,1280.00,1298.00,1298.00,0.00,0.00,1291.65,2115.00
2026-05-26,14:11:16,GRDBL,40.20,1081.00,1099.90,1065.00,1075.00,1075.00,0.00,0.00,1076.05,12950.00
2026-05-26,14:11:16,GSY,41.76,9.93,10.00,9.93,9.99,9.99,0.00,0.00,9.96,9120.00
2026-05-26,14:11:16,GUFL,41.12,532.00,542.00,532.00,539.00,539.00,0.00,0.00,536.89,6438.00
2026-05-26,14:11:16,GVL,43.46,491.10,500.00,491.10,497.00,497.00,0.00,0.00,494.82,17789.00
2026-05-26,14:11:16,H8020,28.68,11.84,12.00,11.76,12.00,12.00,0.00,0.00,11.92,20900.00
2026-05-26,14:11:16,HATHY,41.88,816.00,816.00,800.00,800.00,800.00,0.00,0.00,806.56,5323.00
2026-05-26,14:11:16,HBL,47.40,202.00,207.00,199.90,204.90,204.90,0.00,0.00,201.15,264075.00
2026-05-26,14:11:16,HBLPO,35.43,115.00,115.00,115.00,115.00,115.00,0.00,0.00,115.00,217473.00
2026-05-26,14:11:16,HDHPC,36.52,234.00,234.90,226.20,227.70,227.70,0.00,0.00,228.75,182820.00
2026-05-26,14:11:16,HDL,37.87,1170.00,1176.90,1162.00,1173.80,1173.80,0.00,0.00,1169.23,21622.00
2026-05-26,14:11:16,HEI,33.61,535.00,535.00,531.30,532.80,532.80,0.00,0.00,532.92,3179.00
